id;name;description;price;image;product_size;color;quantity
1;Steel;Assistant;57374;monetize Consultant wireless;16316;blue;76146
2;reboot magenta THX;THX;93728;Soap withdrawal;40879;magenta;57853
3;Incredible Korea;compressing withdrawal green;70316;Gloves Drive;69325;green;4184
4;Business-focused;Rubber;95238;orange Practical;80588;lavender;35518
5;Dynamic Sports;Mexico yellow Cape;27546;homogeneous Crossroad;86573;mint green;96920
6;De-engineered;Central Intelligent;88292;Checking Account Renminbi;33734;silver;78011
7;online virtual;hacking;36445;Sleek metrics;95618;teal;94541
8;application grey solution;Massachusetts Ergonomic Ergonomic;5859;deposit;42304;sky blue;98208
9;Chair solution Zimbabwe;Chicken;61811;Mobility Arkansas Kids;88593;fuchsia;90897
10;Algeria Rustic;Taka;90493;optical functionalities;1542;black;54007
